id,provider_name,location_name,image,website,address1,address2,city,state,zipcode
,American Rescue Workers of Maryland,,,www.arwmd.org,2441 West Baltimore Street,,Baltimore City,MD,21223
,Ames Shalom Community,,,,613 Baker Street,,Baltimore City,MD,21217
,Baltimore Dream Center,,,www.baltimoredreamcenter.com,3701 9th Street,,Baltimore City,MD,21225
,Beans and Bread Outreach Center,,,www.vincentbaltimore.org,402 South Bond Street,,Baltimore City,MD,21231
,Beth-El Temple Church of Christ,,,,3910 West Rogers Avenue,,Baltimore City,MD,21215
,Bethel Outreach Center,,,,1429 Mcculloh Street,,Baltimore City,MD,21217
,Bread of Life Ministry,,,,1501 Mcculloh Street,,Baltimore City,MD,21217
,Brooklyn Community United Methodist Church,,,,110 Townsend Avenue,,Baltimore City,MD,21225
,Brooklyn Seventh-Day Adventist Church,,,www.brooklyn23.adventistchurchconnect.org/,3533 Fourth Street,,Baltimore City,MD,21225
,Christ UMC Emergency Food Pantry,,,www.gbgm-umc.org/baltimorecumc,2005 East Chase Street,,Baltimore City,MD,21213-3395
,"City Temple Outreach of Baltimore, The",,,www.thecitytemple.org,317 Dolphin Street,,Baltimore City,MD,21217
,Corpus Christi Community Center,,,,703 Whitelock Street,,Baltimore City,MD,21217
,Ebenezer AME Church,,,www.ebenezeramebaltimore.org,20 West Montgomery Street,,Baltimore City,MD,21230
,First Baptist Church Soup Kitchen,,,,525 North Caroline Street,,Baltimore City,MD,21205
,First Mount Calvary Pantry,,,www.firstmountcalvary.com,1142 North Fulton Avenue,,Baltimore City,MD,21217
,Franciscan Center,,,www.franciscancenterbaltimore.org,101 West 23rd Street,,Baltimore City,MD,21218
,Good Shepherd Baptist Pantry,,,,3459 Park Heights Avenue,,Baltimore City,MD,21215
,Grace and Hope Mission,,,,4 South Gay Street,,Baltimore City,MD,21202
,Homestead UMC Service Center,,,,1500 Gorsuch Avenue,,Baltimore City,MD,21218
,Knox Presbyterian Church,,,,1300 North Eden Street,,Baltimore City,MD,21213
,"Loaves and Fishes, Mobile Unit",,,www.st-ignatius.net,740 North Calvert Street,,Baltimore City,MD,21202
,Manna House,,,www.mannahouseinc.org,435 East 25th Street,,Baltimore City,MD,21218
,Mattie B. Uzzle Outreach Center,,,,1211 North Chester Street,,Baltimore City,MD,21213
,Mt. Moriah's Pantry,,,,2201 Garrison Boulevard,,Baltimore City,MD,21216
,My Brother's Keeper,,,www.mybrotherskeeperbaltimore.org,4207 Frederick Avenue,,Baltimore City,MD,21229
,"My Sister's Place Women's Center, Catholic Charities",,,www.cc-md.org,17 West Franklin Street,,Baltimore City,MD,21201
,New Life Baptist Church,,,,2417 East North Avenue,,Baltimore City,MD,21213
,Our Daily Bread Meal Services,,,www.catholiccharities-md.org,725 Fallsway,,Baltimore City,MD,21202
,Pan in the Community,,,www.paninthecommunity.org,3907 Hamilton Avenue,,Baltimore City,MD,21206
,Paul's Place,,,www.paulsplaceoutreach.org,1118 Ward Street,,Baltimore City,MD,21230
,Perkins Square Baptist Church,,,www.perkinssquarebaptistchurch.com,2500 Edmondson Avenue,,Baltimore City,MD,21223
,"Salvation Army, Baltimore, Temple Corps Center",,,www.tsabaltimore.org,1601 West Baltimore Street,,Baltimore City,MD,21223
,Second Shiloh Meal Kitchen,,,,1355 Homestead Street,,Baltimore City,MD,21218
,Sisters Together and Reaching,,,www.sisterstogetherandreaching.org,1505 Eutaw Place,1st Floor,Baltimore City,MD,21217
,St. Cecilia RCC Soup Kitchen,,,,3301 Windsor Avenue,,Baltimore City,MD,21216
,St. Gregory the Great Church,,,,1542 North Gilmor Street,,Baltimore City,MD,21217
,St. John Lutheran Church,,,www.stjohnbrooklynmd.org,226 Washburn Avenue,,Baltimore City,MD,21225-2099
,"St. Paul Evangelical Lutheran Church, Baltimore",,,,3909 Pennington Avenue,,Baltimore City,MD,21226-1211
,St. Rita Catholic Church,,,,2907 Dunleer Road,,Baltimore City,MD,21222
,St. Vincent Emergency Service,,,,120 North Front Street,,Baltimore City,MD,21202-4804
,Trinity Baptist Church Pantry,,,www.tbcbaltimore.org,1601 Druid Hill Avenue,,Baltimore City,MD,21217
,VIVA House,,,,26 South Mount Street,,Baltimore City,MD,21223
,Walbrook Vicinity Churches Assistance Ministry,,,,3202 West North Avenue,,Baltimore City,MD,21216
,Waters Church Soup Kitchen,,,www.watersamechurch.org,417 North Aisquith Street,,Baltimore City,MD,21202
,Wayland Baptist Soup Kitchen,,,www.waylandbc.org,3200 Garrison Boulevard,,Baltimore City,MD,21216
,YES Drop-In Center,,,www.fusionpartnership.wordpress.com/sponsored-projects/yes,2315 North Charles Street,First Floor,Baltimore City,MD,21218
,"Abbott Memorial Presbyterian Church, We Care",,,www.abbottchurch.org,3426 Bank Street,,Baltimore City,MD,21224
,AFL-CIO Community Services of Central Maryland,,,www.aflcio.org,2701 West Patapsco Avenue,,Baltimore City,MD,21230-2797
,Agape House,,,www.agapehouseinc.org,1501 North Dukeland Street,,Baltimore City,MD,21216
,Ark Food Pantry,,,www.arkchurch.com,1840 Aisquith Street,,Baltimore City,MD,21202
,Assisi House,,,,318-320 South Regester Street,,Baltimore City,MD,21231
,Baltimore City Healthy Start,,,www.baltimorehealthystart.org,2521 North Charles Street,,Baltimore City,MD,21218
,Bea Gaddy Family Center,,,www.bea-gaddy-family-center.org,425 North Chester Street,,Baltimore City,MD,21231-1635
,Beechfield United Methodist Pantry,,,www.beechfieldumc.org,541 South Beechfield Avenue,,Baltimore City,MD,21229
,Calvary Baptist Church Food Pantry,,,,3911 Garrison Boulevard,,Baltimore City,MD,21215
,Canton Baptist Church,,,www.cantonbaptist.net,3302 Toone Street,,Baltimore City,MD,21224
,CARES,,,www.gedco.org,5502 York Road,,Baltimore City,MD,21212
,Centennial-Caroline St. UMC Pantry,,,www.ccsumc.com,1029 East Monument Street,,Baltimore City,MD,21202
,Christian Memorial Food Pantry,,,,2001 West North Avenue,,Baltimore City,MD,21217
,Church of God,,,www.mdcogic.org,5100 Denmore Avenue,,Baltimore City,MD,21215
,Church of the Guardian Angel Pantry,,,,335 West 27th Street,,Baltimore City,MD,21211
,Church of the Redeemed of the Lord,,,www.crlministries.com,4321 Old York Road,,Baltimore City,MD,21212-4727
